date,item,sales_count,temperature_avg,precipitation,humidity,weather_condition
2023-04-04,Cold Coffee,75,60,0.0,65,Partly Cloudy
2023-04-04,Hot Coffee,49,60,0.0,65,Partly Cloudy
2023-05-04,Cold Coffee,74,74,0.0,59,Sunny
2023-05-04,Hot Coffee,40,74,0.0,59,Sunny
2023-06-04,Cold Coffee,99,79,0.0,55,Sunny
2023-06-04,Hot Coffee,42,79,0.0,55,Sunny
2023-07-04,Cold Coffee,78,76,0.0,56,Sunny
2023-07-04,Hot Coffee,58,76,0.0,56,Sunny
2023-04-13,Cold Coffee,75,63,0.0,65,Partly Cloudy
2023-04-13,Hot Coffee,47,63,0.0,65,Partly Cloudy
2023-04-14,Cold Coffee,73,64,0.0,61,Partly Cloudy
2023-04-14,Hot Coffee,49,64,0.0,61,Partly Cloudy
2023-04-15,Cold Coffee,94,70,0.0,59,Sunny
2023-04-15,Hot Coffee,40,70,0.0,59,Sunny
2023-04-16,Cold Coffee,88,69,0.0,63,Sunny
2023-04-16,Hot Coffee,39,69,0.0,63,Sunny
2023-04-17,Cold Coffee,88,67,0.0,61,Sunny
2023-04-17,Hot Coffee,44,67,0.0,61,Sunny
2023-04-18,Cold Coffee,65,59,0.0,70,Cloudy
2023-04-18,Hot Coffee,53,59,0.0,70,Cloudy
2023-04-19,Cold Coffee,79,65,0.0,62,Partly Cloudy
2023-04-19,Hot Coffee,47,65,0.0,62,Partly Cloudy
2023-04-20,Cold Coffee,78,64,0.0,65,Partly Cloudy
2023-04-20,Hot Coffee,45,64,0.0,65,Partly Cloudy
2023-04-21,Cold Coffee,65,58,0.0,70,Cloudy
2023-04-21,Hot Coffee,50,58,0.0,70,Cloudy
2023-04-22,Cold Coffee,75,62,0.0,65,Partly Cloudy
2023-04-22,Hot Coffee,53,62,0.0,65,Partly Cloudy
2023-04-23,Cold Coffee,82,68,0.0,59,Sunny
2023-04-23,Hot Coffee,43,68,0.0,59,Sunny
2023-04-24,Cold Coffee,69,60,0.0,71,Cloudy
2023-04-24,Hot Coffee,54,60,0.0,71,Cloudy
2023-04-25,Cold Coffee,63,56,0.0,72,Cloudy
2023-04-25,Hot Coffee,55,56,0.0,72,Cloudy
2023-04-26,Cold Coffee,86,71,0.0,62,Sunny
2023-04-26,Hot Coffee,37,71,0.0,62,Sunny
2023-04-27,Cold Coffee,86,69,0.0,60,Sunny
2023-04-27,Hot Coffee,43,69,0.0,60,Sunny
2023-04-28,Cold Coffee,75,62,0.0,66,Partly Cloudy
2023-04-28,Hot Coffee,52,62,0.0,66,Partly Cloudy
2023-04-29,Cold Coffee,71,62,0.0,69,Partly Cloudy
2023-04-29,Hot Coffee,50,62,0.0,69,Partly Cloudy
2023-04-30,Cold Coffee,62,58,0.3,79,Cloudy
2023-04-30,Hot Coffee,50,58,0.3,79,Cloudy
2023-04-05,Cold Coffee,93,62,0.0,69,Partly Cloudy
2023-04-05,Hot Coffee,43,62,0.0,69,Partly Cloudy
2023-05-05,Cold Coffee,85,67,0.0,61,Sunny
2023-05-05,Hot Coffee,39,67,0.0,61,Sunny
2023-06-05,Cold Coffee,86,71,0.0,58,Sunny
2023-06-05,Hot Coffee,40,71,0.0,58,Sunny
2023-07-05,Cold Coffee,73,81,0.0,54,Sunny
2023-07-05,Hot Coffee,46,81,0.0,54,Sunny
2023-05-13,Cold Coffee,88,70,0.0,56,Sunny
2023-05-13,Hot Coffee,38,70,0.0,56,Sunny
2023-05-14,Cold Coffee,85,67,0.0,57,Sunny
2023-05-14,Hot Coffee,39,67,0.0,57,Sunny
2023-05-15,Cold Coffee,73,60,0.0,66,Partly Cloudy
2023-05-15,Hot Coffee,50,60,0.0,66,Partly Cloudy
2023-05-16,Cold Coffee,85,67,0.0,59,Sunny
2023-05-16,Hot Coffee,40,67,0.0,59,Sunny
2023-05-17,Cold Coffee,89,71,0.0,60,Sunny
2023-05-17,Hot Coffee,43,71,0.0,60,Sunny
2023-05-18,Cold Coffee,81,64,0.0,63,Partly Cloudy
2023-05-18,Hot Coffee,46,64,0.0,63,Partly Cloudy
2023-05-19,Cold Coffee,75,61,0.0,67,Partly Cloudy
2023-05-19,Hot Coffee,47,61,0.0,67,Partly Cloudy
2023-05-20,Cold Coffee,79,64,0.0,60,Partly Cloudy
2023-05-20,Hot Coffee,42,64,0.0,60,Partly Cloudy
2023-05-21,Cold Coffee,86,68,0.0,57,Sunny
