date,item,sales_count
01-04-23,Cold Coffee,94
01-04-23,Hot Coffee,53
02-04-23,Cold Coffee,70
02-04-23,Hot Coffee,68
03-04-23,Cold Coffee,79
03-04-23,Hot Coffee,49
04-04-23,Cold Coffee,75
04-04-23,Hot Coffee,49
05-04-23,Cold Coffee,74
05-04-23,Hot Coffee,40
06-04-23,Cold Coffee,99
06-04-23,Hot Coffee,42
07-04-23,Cold Coffee,78
07-04-23,Hot Coffee,58
08-04-23,Cold Coffee,67
08-04-23,Hot Coffee,54
09-04-23,Cold Coffee,67
09-04-23,Hot Coffee,52
10-04-23,Cold Coffee,78
10-04-23,Hot Coffee,54
11-04-23,Cold Coffee,79
11-04-23,Hot Coffee,50
12-04-23,Cold Coffee,95
12-04-23,Hot Coffee,43
13-04-23,Cold Coffee,75
13-04-23,Hot Coffee,47
14-04-23,Cold Coffee,73
14-04-23,Hot Coffee,49
15-04-23,Cold Coffee,94
15-04-23,Hot Coffee,40
16-04-23,Cold Coffee,88
16-04-23,Hot Coffee,39
17-04-23,Cold Coffee,88
17-04-23,Hot Coffee,44
18-04-23,Cold Coffee,65
18-04-23,Hot Coffee,53
19-04-23,Cold Coffee,79
19-04-23,Hot Coffee,47
20-04-23,Cold Coffee,78
20-04-23,Hot Coffee,45
21-04-23,Cold Coffee,65
21-04-23,Hot Coffee,50
22-04-23,Cold Coffee,75
22-04-23,Hot Coffee,53
23-04-23,Cold Coffee,82
23-04-23,Hot Coffee,43
24-04-23,Cold Coffee,69
24-04-23,Hot Coffee,54
25-04-23,Cold Coffee,63
25-04-23,Hot Coffee,55
26-04-23,Cold Coffee,86
26-04-23,Hot Coffee,37
27-04-23,Cold Coffee,86
27-04-23,Hot Coffee,43
28-04-23,Cold Coffee,75
28-04-23,Hot Coffee,52
29-04-23,Cold Coffee,71
29-04-23,Hot Coffee,50
30-04-23,Cold Coffee,62
30-04-23,Hot Coffee,50
01-05-23,Cold Coffee,96
01-05-23,Hot Coffee,42
02-05-23,Cold Coffee,88
02-05-23,Hot Coffee,44
03-05-23,Cold Coffee,84
03-05-23,Hot Coffee,41
04-05-23,Cold Coffee,93
04-05-23,Hot Coffee,43
05-05-23,Cold Coffee,85
05-05-23,Hot Coffee,39
06-05-23,Cold Coffee,86
06-05-23,Hot Coffee,40
07-05-23,Cold Coffee,73
07-05-23,Hot Coffee,46
08-05-23,Cold Coffee,73
08-05-23,Hot Coffee,50
09-05-23,Cold Coffee,87
09-05-23,Hot Coffee,42
10-05-23,Cold Coffee,86
10-05-23,Hot Coffee,43
11-05-23,Cold Coffee,75
11-05-23,Hot Coffee,49
12-05-23,Cold Coffee,82
12-05-23,Hot Coffee,45
13-05-23,Cold Coffee,88
13-05-23,Hot Coffee,38
14-05-23,Cold Coffee,85
14-05-23,Hot Coffee,39
15-05-23,Cold Coffee,73
15-05-23,Hot Coffee,50
16-05-23,Cold Coffee,85
16-05-23,Hot Coffee,40
17-05-23,Cold Coffee,89
17-05-23,Hot Coffee,43
18-05-23,Cold Coffee,81
18-05-23,Hot Coffee,46
19-05-23,Cold Coffee,75
19-05-23,Hot Coffee,47
20-05-23,Cold Coffee,79
20-05-23,Hot Coffee,42
21-05-23,Cold Coffee,86
21-05-23,Hot Coffee,40
22-05-23,Cold Coffee,93
22-05-23,Hot Coffee,36
23-05-23,Cold Coffee,81
23-05-23,Hot Coffee,44
24-05-23,Cold Coffee,84
24-05-23,Hot Coffee,43
25-05-23,Cold Coffee,88
25-05-23,Hot Coffee,40
26-05-23,Cold Coffee,73
26-05-23,Hot Coffee,47
27-05-23,Cold Coffee,77
27-05-23,Hot Coffee,49
28-05-23,Cold Coffee,87
28-05-23,Hot Coffee,38
29-05-23,Cold Coffee,84
29-05-23,Hot Coffee,42
30-05-23,Cold Coffee,77
30-05-23,Hot Coffee,48
31-05-23,Cold Coffee,78
31-05-23,Hot Coffee,44
01-06-23,Cold Coffee,92
01-06-23,Hot Coffee,34
02-06-23,Cold Coffee,86
02-06-23,Hot Coffee,42
03-06-23,Cold Coffee,87
03-06-23,Hot Coffee,35
04-06-23,Cold Coffee,99
04-06-23,Hot Coffee,32
05-06-23,Cold Coffee,87
05-06-23,Hot Coffee,38
06-06-23,Cold Coffee,86
06-06-23,Hot Coffee,39
07-06-23,Cold Coffee,96
07-06-23,Hot Coffee,32
08-06-23,Cold Coffee,85
08-06-23,Hot Coffee,38
09-06-23,Cold Coffee,78
09-06-23,Hot Coffee,43
10-06-23,Cold Coffee,75
10-06-23,Hot Coffee,44
11-06-23,Cold Coffee,87
11-06-23,Hot Coffee,34
12-06-23,Cold Coffee,94
12-06-23,Hot Coffee,36
13-06-23,Cold Coffee,90
13-06-23,Hot Coffee,37
14-06-23,Cold Coffee,94
14-06-23,Hot Coffee,35
15-06-23,Cold Coffee,91
15-06-23,Hot Coffee,35
16-06-23,Cold Coffee,80
16-06-23,Hot Coffee,42
17-06-23,Cold Coffee,90
17-06-23,Hot Coffee,33
18-06-23,Cold Coffee,88
18-06-23,Hot Coffee,33
19-06-23,Cold Coffee,87
19-06-23,Hot Coffee,38
20-06-23,Cold Coffee,76
20-06-23,Hot Coffee,44
21-06-23,Cold Coffee,91
21-06-23,Hot Coffee,33
22-06-23,Cold Coffee,85
22-06-23,Hot Coffee,37
23-06-23,Cold Coffee,80
23-06-23,Hot Coffee,40
24-06-23,Cold Coffee,93
24-06-23,Hot Coffee,35
25-06-23,Cold Coffee,93
25-06-23,Hot Coffee,32
26-06-23,Cold Coffee,98
26-06-23,Hot Coffee,30
27-06-23,Cold Coffee,89
27-06-23,Hot Coffee,36
28-06-23,Cold Coffee,79
28-06-23,Hot Coffee,41
29-06-23,Cold Coffee,86
29-06-23,Hot Coffee,37
30-06-23,Cold Coffee,81
30-06-23,Hot Coffee,41
01-07-23,Cold Coffee,93
01-07-23,Hot Coffee,29
02-07-23,Cold Coffee,99
02-07-23,Hot Coffee,27
03-07-23,Cold Coffee,95
03-07-23,Hot Coffee,30
04-07-23,Cold Coffee,92
04-07-23,Hot Coffee,32
05-07-23,Cold Coffee,97
05-07-23,Hot Coffee,31
06-07-23,Cold Coffee,97
06-07-23,Hot Coffee,29
07-07-23,Cold Coffee,92
07-07-23,Hot Coffee,30
08-07-23,Cold Coffee,93
08-07-23,Hot Coffee,32
09-07-23,Cold Coffee,99
09-07-23,Hot Coffee,28
10-07-23,Cold Coffee,93
10-07-23,Hot Coffee,30
11-07-23,Cold Coffee,84
11-07-23,Hot Coffee,37
12-07-23,Cold Coffee,87
12-07-23,Hot Coffee,35
13-07-23,Cold Coffee,98
13-07-23,Hot Coffee,28
14-07-23,Cold Coffee,94
14-07-23,Hot Coffee,29
15-07-23,Cold Coffee,90
15-07-23,Hot Coffee,32
16-07-23,Cold Coffee,96
16-07-23,Hot Coffee,29
17-07-23,Cold Coffee,89
17-07-23,Hot Coffee,34
18-07-23,Cold Coffee,90
18-07-23,Hot Coffee,32
19-07-23,Cold Coffee,96
19-07-23,Hot Coffee,29
20-07-23,Cold Coffee,98
20-07-23,Hot Coffee,26
21-07-23,Cold Coffee,91
21-07-23,Hot Coffee,34
22-07-23,Cold Coffee,95
22-07-23,Hot Coffee,30
23-07-23,Cold Coffee,91
