date,temperature_avg,precipitation,humidity,weather_condition
2023-04-01,67,0.0,62,Sunny
2023-04-02,59,0.0,73,Partly Cloudy
2023-04-03,64,0.0,73,Cloudy
2023-04-04,60,0.0,65,Partly Cloudy
2023-04-05,62,0.0,69,Partly Cloudy
2023-04-06,75,0.0,59,Sunny
2023-04-07,64,0.0,74,Cloudy
2023-04-08,60,0.0,67,Partly Cloudy
2023-04-09,60,0.0,62,Partly Cloudy
2023-04-10,65,0.0,64,Partly Cloudy
2023-04-11,64,0.0,63,Partly Cloudy
2023-04-12,71,0.0,60,Sunny
2023-04-13,63,0.0,65,Partly Cloudy
2023-04-14,64,0.0,61,Partly Cloudy
2023-04-15,70,0.0,59,Sunny
2023-04-16,69,0.0,63,Sunny
2023-04-17,67,0.0,61,Sunny
2023-04-18,59,0.0,70,Cloudy
2023-04-19,65,0.0,62,Partly Cloudy
2023-04-20,64,0.0,65,Partly Cloudy
2023-04-21,58,0.0,70,Cloudy
2023-04-22,62,0.0,65,Partly Cloudy
2023-04-23,68,0.0,59,Sunny
2023-04-24,60,0.0,71,Cloudy
2023-04-25,56,0.0,72,Cloudy
2023-04-26,71,0.0,62,Sunny
2023-04-27,69,0.0,60,Sunny
2023-04-28,62,0.0,66,Partly Cloudy
2023-04-29,62,0.0,69,Partly Cloudy
2023-04-30,58,0.3,79,Cloudy
2023-05-01,75,0.0,57,Sunny
2023-05-02,70,0.0,60,Sunny
2023-05-03,66,0.0,61,Sunny
2023-05-04,74,0.0,59,Sunny
2023-05-05,67,0.0,61,Sunny
2023-05-06,68,0.0,57,Sunny
2023-05-07,60,0.0,69,Partly Cloudy
2023-05-08,60,0.0,66,Partly Cloudy
2023-05-09,69,0.0,61,Sunny
2023-05-10,68,0.0,60,Sunny
2023-05-11,62,0.0,67,Partly Cloudy
2023-05-12,65,0.0,63,Partly Cloudy
2023-05-13,70,0.0,56,Sunny
2023-05-14,67,0.0,57,Sunny
2023-05-15,60,0.0,66,Partly Cloudy
2023-05-16,67,0.0,59,Sunny
2023-05-17,71,0.0,60,Sunny
2023-05-18,64,0.0,63,Partly Cloudy
2023-05-19,61,0.0,67,Partly Cloudy
2023-05-20,64,0.0,60,Partly Cloudy
2023-05-21,68,0.0,57,Sunny
2023-05-22,74,0.0,56,Sunny
2023-05-23,65,0.0,62,Partly Cloudy
2023-05-24,66,0.0,62,Partly Cloudy
2023-05-25,70,0.0,56,Sunny
2023-05-26,60,0.0,65,Partly Cloudy
2023-05-27,62,0.0,69,Partly Cloudy
2023-05-28,69,0.0,59,Sunny
2023-05-29,66,0.0,62,Partly Cloudy
2023-05-30,61,0.0,67,Partly Cloudy
2023-05-31,64,0.0,60,Partly Cloudy
2023-06-01,75,0.0,56,Sunny
2023-06-02,68,0.0,60,Sunny
2023-06-03,69,0.0,56,Sunny
2023-06-04,79,0.0,55,Sunny
2023-06-05,71,0.0,58,Sunny
2023-06-06,70,0.0,59,Sunny
2023-06-07,76,0.0,56,Sunny
2023-06-08,67,0.0,62,Partly Cloudy
2023-06-09,62,0.0,68,Partly Cloudy
2023-06-10,61,0.0,66,Partly Cloudy
2023-06-11,69,0.0,59,Sunny
2023-06-12,74,0.0,57,Sunny
2023-06-13,72,0.0,58,Sunny
2023-06-14,75,0.0,56,Sunny
2023-06-15,73,0.0,58,Sunny
2023-06-16,64,0.0,65,Partly Cloudy
2023-06-17,72,0.0,58,Sunny
2023-06-18,70,0.0,57,Sunny
2023-06-19,69,0.0,61,Partly Cloudy
2023-06-20,62,0.0,66,Partly Cloudy
2023-06-21,72,0.0,58,Sunny
2023-06-22,67,0.0,61,Partly Cloudy
2023-06-23,64,0.0,65,Partly Cloudy
2023-06-24,73,0.0,58,Sunny
2023-06-25,74,0.0,55,Sunny
2023-06-26,78,0.0,55,Sunny
2023-06-27,71,0.0,58,Sunny
2023-06-28,63,0.0,65,Partly Cloudy
2023-06-29,68,0.0,61,Partly Cloudy
2023-06-30,64,0.0,64,Partly Cloudy
2023-07-01,75,0.0,55,Sunny
2023-07-02,81,0.0,54,Sunny
2023-07-03,79,0.0,55,Sunny
2023-07-04,76,0.0,56,Sunny
2023-07-05,81,0.0,54,Sunny
2023-07-06,81,0.0,54,Sunny
2023-07-07,76,0.0,56,Sunny
2023-07-08,77,0.0,57,Sunny
2023-07-09,83,0.0,53,Sunny
2023-07-10,77,0.0,56,Sunny
2023-07-11,68,0.0,63,Partly Cloudy
2023-07-12,71,0.0,60,Partly Cloudy
2023-07-13,82,0.0,54,Sunny
2023-07-14,78,0.0,55,Sunny
2023-07-15,74,0.0,57,Sunny
2023-07-16,80,0.0,54,Sunny
2023-07-17,73,0.0,58,Sunny
2023-07-18,74,0.0,58,Sunny
2023-07-19,80,0.0,55,Sunny
2023-07-20,82,0.0,53,Sunny
2023-07-21,75,0.0,59,Partly Cloudy
2023-07-22,79,0.0,55,Sunny
2023-07-23,75,0.0,57,Sunny
2023-07-24,73,0.0,58,Sunny
2023-07-25,80,0.0,55,Sunny
2023-07-26,76,0.0,56,Sunny
2023-07-27,76,0.0,57,Sunny
2023-07-28,74,0.0,57,Sunny
2023-07-29,68,0.0,63,Partly Cloudy
2023-07-30,69,0.0,61,Partly Cloudy
